المنطقة,المدينة,نوع السند الرئيسي,تاريخ القرار ميلادي,تاريخ القرارهجري,الرقم المرجعي
منطقة الرياض,الرياض,اخلاء,2025/01/01,1446/07/01,"14,102,017"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/01,1446/07/01,"14,102,240"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/01,1446/07/01,"14,100,035"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,676"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,673"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,408"
منطقة مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/01/01,1446/07/01,"14,099,840"
منطقة مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/01/01,1446/07/01,"14,099,416"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,675"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,674"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/01,1446/07/01,"14,095,409"
منطقة مكة المكرمه,جده,أوراق تجارية إلكترونية,2025/01/01,1446/07/01,"14,099,415"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/01,1446/07/01,"14,095,534"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/01,1446/07/01,"14,099,256"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,217"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,218"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,219"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/01,1446/07/01,"14,099,257"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,220"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,221"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,215"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/01,1446/07/01,"14,099,216"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/01,1446/07/01,"14,099,207"
منطقة جازان,جيزان,أوراق تجارية,2025/01/01,1446/07/01,"14,100,994"
منطقة الحدود الشمالية,عرعر,أوراق تجارية,2025/01/01,1446/07/01,"14,098,984"
منطقة الحدود الشمالية,عرعر,أوراق تجارية,2025/01/01,1446/07/01,"14,100,930"
منطقة الباحة,الباحه,أوراق تجارية,2025/01/01,1446/07/01,"14,099,549"
منطقة الباحة,الباحه,أوراق تجارية,2025/01/01,1446/07/01,"14,099,550"
منطقة الباحة,الباحه,أوراق تجارية,2025/01/01,1446/07/01,"14,099,551"
منطقة الباحة,الباحه,أوراق تجارية,2025/01/01,1446/07/01,"14,099,548"
منطقة الباحة,الباحه,أوراق تجارية,2025/01/01,1446/07/01,"14,099,552"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/02,1446/07/02,"14,105,920"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/02,1446/07/02,"14,109,611"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/02,1446/07/02,"14,107,272"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/02,1446/07/02,"14,107,274"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/02,1446/07/02,"14,109,330"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/02,1446/07/02,"14,107,434"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/02,1446/07/02,"14,107,273"
منطقة مكة المكرمه,مكة المكرمة,اخلاء,2025/01/02,1446/07/02,"14,106,347"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/02,1446/07/02,"14,106,506"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,103,111"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,976"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,977"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,978"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,979"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,980"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,981"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,974"
منطقة مكة المكرمه,جده,اخلاء,2025/01/02,1446/07/02,"14,108,722"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/02,1446/07/02,"14,107,975"
منطقة مكة المكرمه,جده,عقود,2025/01/02,1446/07/02,"14,106,915"
منطقة المدينة المنوره,المدينة المنورة,عقود,2025/01/02,1446/07/02,"14,108,799"
منطقة القصيم,بريده,احكام و قرارات,2025/01/02,1446/07/02,"14,108,656"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/02,1446/07/02,"14,107,993"
منطقة عسير,ابها,احكام و قرارات,2025/01/02,1446/07/02,"14,103,241"
منطقة تبوك,تبوك,عقود,2025/01/02,1446/07/02,"14,103,670"
منطقة تبوك,تبوك,أوراق تجارية,2025/01/02,1446/07/02,"14,109,473"
منطقة الباحة,الباحه,احكام و قرارات,2025/01/02,1446/07/02,"14,107,019"
منطقة الرياض,الرياض,عقود,2025/01/05,1446/07/05,"14,122,971"
منطقة الرياض,الرياض,عقود,2025/01/05,1446/07/05,"14,125,905"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/05,1446/07/05,"14,119,301"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/05,1446/07/05,"14,126,032"
منطقة مكة المكرمه,جده,عقود,2025/01/05,1446/07/05,"14,126,438"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/05,1446/07/05,"14,119,138"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/05,1446/07/05,"14,126,830"
منطقة المدينة المنوره,المدينة المنورة,عام,2025/01/05,1446/07/05,"14,129,479"
منطقة المدينة المنوره,المدينة المنورة,عقود,2025/01/05,1446/07/05,"14,125,870"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/05,1446/07/05,"14,125,986"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/05,1446/07/05,"14,127,857"
منطقة الشرقية,الدمام,اخلاء,2025/01/05,1446/07/05,"14,123,943"
منطقة الشرقية,الدمام,اخلاء,2025/01/05,1446/07/05,"14,125,473"
منطقة الشرقية,الدمام,اخلاء,2025/01/05,1446/07/05,"14,118,950"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/06,1446/07/06,"14,140,406"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/06,1446/07/06,"14,138,470"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/06,1446/07/06,"14,135,746"
منطقة الرياض,الرياض,عقود,2025/01/06,1446/07/06,"14,140,740"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/06,1446/07/06,"14,136,881"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,130,533"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,024"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,025"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,026"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,023"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,015"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,016"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,017"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,018"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,019"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,020"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,021"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,137,022"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/06,1446/07/06,"14,137,038"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/06,1446/07/06,"14,130,972"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/06,1446/07/06,"14,140,628"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,806"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,802"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,803"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,804"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,805"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,801"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/06,1446/07/06,"14,136,800"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/06,1446/07/06,"14,133,394"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/06,1446/07/06,"14,133,140"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/06,1446/07/06,"14,133,135"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,151,298"
منطقة الرياض,الرياض,أوراق تجارية إلكترونية,2025/01/07,1446/07/07,"14,148,158"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,140,748"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/07,1446/07/07,"14,150,241"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,151,379"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,151,375"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,147,614"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/07,1446/07/07,"14,151,234"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/07,1446/07/07,"14,150,920"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,066"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,067"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,068"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,069"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,070"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,071"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,072"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,073"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,074"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,152,075"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/07,1446/07/07,"14,150,930"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/07,1446/07/07,"14,150,931"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/07,1446/07/07,"14,150,932"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/07,1446/07/07,"14,150,928"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/07,1446/07/07,"14,151,943"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/07,1446/07/07,"14,150,929"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/07,1446/07/07,"14,141,469"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/07,1446/07/07,"14,141,470"
منطقة القصيم,بريده,احكام و قرارات,2025/01/07,1446/07/07,"14,151,746"
منطقة القصيم,بريده,احكام و قرارات,2025/01/07,1446/07/07,"14,151,747"
منطقة الشرقية,حفر الباطن,عقود,2025/01/07,1446/07/07,"14,151,695"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/07,1446/07/07,"14,148,293"
منطقة عسير,ابها,احكام و قرارات,2025/01/07,1446/07/07,"14,148,220"
منطقة عسير,ابها,احكام و قرارات,2025/01/07,1446/07/07,"14,148,219"
منطقة حائل,حائل,أوراق تجارية,2025/01/07,1446/07/07,"14,150,174"
منطقة نجران,نجران,أوراق تجارية إلكترونية,2025/01/07,1446/07/07,"14,151,673"
منطقة نجران,نجران,احكام و قرارات,2025/01/07,1446/07/07,"14,151,773"
منطقة نجران,نجران,أوراق تجارية إلكترونية,2025/01/07,1446/07/07,"14,151,750"
منطقة نجران,نجران,أوراق تجارية إلكترونية,2025/01/07,1446/07/07,"14,151,749"
منطقة نجران,نجران,أوراق تجارية إلكترونية,2025/01/07,1446/07/07,"14,151,739"
منطقة الرياض,الرياض,عقود,2025/01/08,1446/07/08,"14,158,692"
منطقة الرياض,الرياض,عقود,2025/01/08,1446/07/08,"14,158,693"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/08,1446/07/08,"14,158,335"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/08,1446/07/08,"14,153,688"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/08,1446/07/08,"14,158,048"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/08,1446/07/08,"14,158,806"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/08,1446/07/08,"14,157,583"
منطقة المدينة المنوره,المدينة المنورة,أوراق تجارية,2025/01/08,1446/07/08,"14,156,803"
منطقة المدينة المنوره,المدينة المنورة,أوراق تجارية,2025/01/08,1446/07/08,"14,156,804"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/08,1446/07/08,"14,157,423"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/08,1446/07/08,"14,157,422"
منطقة حائل,حائل,احكام و قرارات,2025/01/08,1446/07/08,"14,155,962"
منطقة حائل,حائل,احكام و قرارات,2025/01/08,1446/07/08,"14,155,961"
منطقة جازان,جيزان,احكام و قرارات,2025/01/08,1446/07/08,"14,157,374"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/09,1446/07/09,"14,163,160"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/09,1446/07/09,"14,163,159"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,989"
منطقة مكة المكرمه,مكة المكرمة,عقود,2025/01/09,1446/07/09,"14,164,179"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,339"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,341"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,338"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,124"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,126"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,334"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,335"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,337"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,336"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,459"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,458"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,457"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,456"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,455"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,454"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,453"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,452"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,445"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,446"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,447"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,448"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,449"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,450"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,467"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,466"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,465"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,464"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,451"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,463"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,462"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,461"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,164,460"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,160,215"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,163,938"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,163,898"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,163,899"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,163,900"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,163,901"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,013"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,160,216"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,163,939"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/09,1446/07/09,"14,163,897"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/09,1446/07/09,"14,164,340"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,284"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,287"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,286"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,285"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,283"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,282"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,281"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,280"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,279"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,278"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/09,1446/07/09,"14,163,277"
منطقة القصيم,بريده,أوراق تجارية,2025/01/09,1446/07/09,"14,162,331"
منطقة القصيم,بريده,أوراق تجارية,2025/01/09,1446/07/09,"14,161,728"
منطقة الشرقية,الدمام,اخلاء,2025/01/09,1446/07/09,"14,162,326"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/12,1446/07/12,"14,184,126"
منطقة مكة المكرمه,مكة المكرمة,احكام و قرارات,2025/01/12,1446/07/12,"14,175,569"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/12,1446/07/12,"14,182,458"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/12,1446/07/12,"14,182,460"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/12,1446/07/12,"14,182,462"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/12,1446/07/12,"14,182,459"
منطقة مكة المكرمه,مكة المكرمة,أوراق تجارية,2025/01/12,1446/07/12,"14,183,289"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/12,1446/07/12,"14,180,883"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/12,1446/07/12,"14,182,701"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/12,1446/07/12,"14,184,658"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/12,1446/07/12,"14,180,882"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/12,1446/07/12,"14,183,292"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/12,1446/07/12,"14,184,556"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/12,1446/07/12,"14,183,294"
منطقة مكة المكرمه,الطائف,أوراق تجارية,2025/01/12,1446/07/12,"14,184,082"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/12,1446/07/12,"14,184,270"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/12,1446/07/12,"14,184,269"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/12,1446/07/12,"14,181,834"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/12,1446/07/12,"14,181,833"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/12,1446/07/12,"14,181,891"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/12,1446/07/12,"14,181,892"
منطقة الشرقية,الدمام,اخلاء,2025/01/12,1446/07/12,"14,183,932"
منطقة الشرقية,الدمام,مزاد,2025/01/12,1446/07/12,"14,182,742"
منطقة الشرقية,الدمام,اخلاء,2025/01/12,1446/07/12,"14,181,491"
منطقة الجوف,سكاكا,أوراق تجارية,2025/01/12,1446/07/12,"14,175,247"
منطقة الجوف,سكاكا,أوراق تجارية,2025/01/12,1446/07/12,"14,175,226"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,194,691"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,195,184"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,185,137"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/13,1446/07/13,"14,193,787"
منطقة الرياض,الرياض,أوراق تجارية,2025/01/13,1446/07/13,"14,193,348"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,195,186"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,195,185"
منطقة الرياض,الرياض,احكام و قرارات,2025/01/13,1446/07/13,"14,195,187"
منطقة مكة المكرمه,مكة المكرمة,مزاد,2025/01/13,1446/07/13,"14,191,932"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,192,375"
منطقة مكة المكرمه,جده,محاضر,2025/01/13,1446/07/13,"14,195,550"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,194,369"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/13,1446/07/13,"14,196,883"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,192,439"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,187,282"
منطقة مكة المكرمه,جده,أوراق تجارية,2025/01/13,1446/07/13,"14,197,290"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,196,905"
منطقة مكة المكرمه,جده,عقود,2025/01/13,1446/07/13,"14,197,232"
منطقة مكة المكرمه,جده,اخلاء,2025/01/13,1446/07/13,"14,197,126"
منطقة مكة المكرمه,جده,احكام و قرارات,2025/01/13,1446/07/13,"14,194,370"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/13,1446/07/13,"14,193,440"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/13,1446/07/13,"14,193,439"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/13,1446/07/13,"14,193,438"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/13,1446/07/13,"14,193,437"
منطقة المدينة المنوره,المدينة المنورة,احكام و قرارات,2025/01/13,1446/07/13,"14,193,441"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,697"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,703"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,702"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,701"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,700"
منطقة القصيم,بريده,احكام و قرارات,2025/01/13,1446/07/13,"14,187,319"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,699"
منطقة القصيم,بريده,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,195,698"
منطقة القصيم,بريده,احكام و قرارات,2025/01/13,1446/07/13,"14,187,318"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/13,1446/07/13,"14,195,555"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,191,388"
منطقة الشرقية,الدمام,أوراق تجارية,2025/01/13,1446/07/13,"14,195,556"
منطقة الشرقية,الدمام,أوراق تجارية إلكترونية,2025/01/13,1446/07/13,"14,186,522"
منطقة الشرقية,الدمام,اخلاء,2025/01/13,1446/07/13,"14,196,643"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,186,945"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,186,944"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,186,943"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,186,942"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,023"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,028"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,027"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,026"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,025"
منطقة الشرقية,الدمام,احكام و قرارات,2025/01/13,1446/07/13,"14,196,024"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/13,1446/07/13,"14,186,978"
منطقة الشرقية,حفر الباطن,احكام و قرارات,2025/01/13,1446/07/13,"14,196,179"
منطقة الشرقية,حفر الباطن,أوراق تجارية,2025/01/13,1446/07/13,"14,185,407"
منطقة الشرقية,حفر الباطن,احكام و قرارات,2025/01/13,1446/07/13,"14,196,180"
